persnum,age,educatn,earnings,hours,sex,married,hwage,lnhwage
3,36,14,24000,1701,2,1,14.109347,2.6468375
3,36,12,22883,1523,2,1,15.024951,2.7097123
5,36,17,8100,474,2,1,17.088608,2.838412
170,36,16,26331,1800,2,1,14.628333,2.6829603
5,36,16,25000,2172,2,1,11.510129,2.4432275
171,36,13,11637,2170,2,1,5.3626728,1.6794626
5,36,13,35000,2681,2,1,13.054831,2.5691583
6,36,12,6000,1500,2,1,4,1.3862944
3,36,10,15330,1876,2,1,8.1716413,2.1006699
171,36,12,15800,1960,2,1,8.0612249,2.0870655
170,36,16,28000,1600,2,1,17.5,2.862201
5,36,12,16560,2080,2,1,7.9615383,2.0746222
175,36,16,65000,1307,2,1,49.732212,3.9066529
4,36,16,5000,537,2,1,9.3109865,2.231195
177,36,14,47000,1560,2,1,30.128204,3.4054618
177,36,12,8159,735,2,1,11.10068,2.4070065
4,36,12,22000,2214,2,1,9.9367657,2.2962415
173,36,14,12000,1525,2,1,7.8688526,2.0629122
170,36,16,1185,156,2,1,7.5961537,2.027642
176,36,17,60000,2160,2,1,27.777779,3.3242364
9,36,11,3000,800,2,0,3.75,1.3217559
170,36,12,7800,1232,2,1,6.3311687,1.8454849
3,36,14,700,177,2,1,3.9548023,1.3749306
5,36,14,14000,2056,2,0,6.8093386,1.918295
3,36,17,25000,1400,2,0,17.857143,2.8824036
3,36,15,36000,2196,2,1,16.393442,2.7968814
4,36,12,32000,2025,2,1,15.802469,2.7601662
3,36,15,2103,448,2,1,4.6941962,1.5463269
170,36,12,17316,1560,2,1,11.1,2.4069452
4,36,12,3800,1250,2,1,3.04,1.1118575
3,36,16,1500,350,2,1,4.2857141,1.4552872
170,36,13,25500,1927,2,1,13.233005,2.5827141
3,36,12,24000,1960,2,0,12.244898,2.5051093
170,36,13,3000,500,2,1,6,1.7917595
171,36,12,3000,339,2,1,8.8495579,2.1803675
5,36,12,24200,1880,2,1,12.87234,2.5550809
8,36,16,2800,331,2,1,8.4592142,2.1352563
4,36,16,14525,1815,2,0,8.0027552,2.0797858
7,36,15,48000,1960,2,0,24.489796,3.1982565
4,36,12,17000,1952,2,1,8.7090168,2.1643589
5,36,16,33000,1412,2,1,23.371105,3.1515005
178,36,12,1200,1530,2,0,.78431374,-.24294616
188,36,12,10000,2236,2,1,4.4722719,1.4978966
170,36,14,18000,1444,2,1,12.465374,2.5229547
175,36,15,7400,1240,2,1,5.967742,1.7863686
3,36,17,28400,1856,2,1,15.301724,2.7279656
180,36,12,20000,2024,2,1,9.881423,2.2906566
3,36,12,800,476,2,0,1.6806723,.51919389
170,36,16,46000,1912,2,1,24.058577,3.1804914
176,36,12,20000,2058,2,1,9.718173,2.2739975
6,36,12,22000,916,2,1,24.017467,3.1787813
4,36,16,2500,117,2,1,21.367521,3.061872
170,36,13,9600,1198,2,1,8.0133553,2.0811095
171,36,16,20000,1000,2,1,20,2.9957323
3,36,12,1800,1360,2,1,1.3235294,.28030193
172,36,12,9000,825,2,1,10.909091,2.3895965
170,36,12,24000,1864,2,0,12.875537,2.5553291
5,36,12,4507,406,2,0,11.100986,2.4070339
5,36,12,21000,2040,2,1,10.294118,2.3315728
4,36,11,2500,540,2,1,4.6296296,1.5324769
5,36,10,4000,795,2,0,5.0314465,1.6157075
6,36,14,12500,2000,2,0,6.25,1.8325815
176,36,14,16000,1887,2,1,8.4790668,2.1376004
171,36,12,22000,1944,2,1,11.316873,2.4262948
170,36,12,24000,1816,2,1,13.215859,2.5814176
3,36,15,270,47,2,1,5.7446809,1.7482743
8,36,11,10000,1120,2,1,8.9285717,2.1892564
187,36,14,27000,1836,2,1,14.705882,2.6882474
4,36,12,32000,1960,2,1,16.32653,2.7927914
4,36,11,900,960,2,0,.9375,-.064538524
174,36,16,27000,1701,2,1,15.873015,2.7646205
7,36,15,22000,1984,2,1,11.08871,2.4059274
5,36,15,40000,1440,2,1,27.777779,3.3242364
171,36,12,7000,1200,2,1,5.8333335,1.7635887
172,36,17,2989,144,2,1,20.756945,3.0328808
170,36,16,600,128,2,1,4.6875,1.5448993
8,36,14,12000,2080,2,1,5.7692308,1.7525388
3,36,12,19000,2050,2,1,9.2682924,2.2265992
10,36,12,8000,1213,2,1,6.5952187,1.8863449
3,36,14,28682,2040,2,1,14.059804,2.6433198
3,36,12,17500,2538,2,1,6.8951931,1.9308245
7,36,16,33800,2090,2,1,16.172249,2.7832968
10,36,14,16000,2008,2,1,7.9681277,2.0754495
176,36,11,9900,920,2,1,10.76087,2.3759165
173,36,12,18000,2004,2,1,8.9820356,2.1952264
8,36,12,15000,2048,2,1,7.3242188,1.9911865
173,36,12,10000,2040,2,1,4.9019608,1.5896353
171,36,13,17500,2150,2,0,8.139535,2.0967331
174,36,12,6000,1960,2,1,3.0612245,1.1188149
4,36,12,33500,2256,2,1,14.849291,2.697952
8,36,14,1200,640,2,0,1.875,.62860864
6,36,12,28341,2496,2,1,11.354568,2.42962
4,36,13,22600,2040,2,0,11.078431,2.405
6,36,13,20000,1128,2,0,17.730497,2.8752861
172,36,10,800,373,2,1,2.1447721,.76303327
5,36,13,34000,2056,2,0,16.536964,2.8055983
6,36,10,1600,2340,2,0,.6837607,-.38014728
3,36,12,32000,1731,2,0,18.486423,2.9170365
3,36,16,42000,1540,2,0,27.272728,3.3058872
5,36,12,24000,1986,2,1,12.084592,2.4919312
7,36,12,1200,480,2,0,2.5,.91629076
5,36,12,15000,2550,2,1,5.8823528,1.7719568
8,36,17,36000,2259,2,0,15.936255,2.7685966
5,36,13,3000,312,2,1,9.6153851,2.2633643
170,36,12,25000,2688,2,1,9.3005953,2.2300785
6,36,12,21312,1920,2,0,11.1,2.4069452
5,36,14,24000,200,2,1,120,4.7874918
3,36,16,35025,1401,2,1,25,3.2188759
3,36,13,9000,1936,2,1,4.6487603,1.5366006
7,36,12,16000,2106,2,0,7.5973411,2.0277984
5,36,16,23000,1520,2,1,15.131579,2.716784
180,36,12,10000,1210,2,1,8.2644625,2.1119647
171,36,9,16417,2080,2,0,7.8927884,2.0659494
4,36,17,41516,2000,2,1,20.757999,3.0329318
4,36,12,10000,1300,2,0,7.6923075,2.0402207
8,36,10,8814,1235,2,0,7.1368423,1.9652704
184,36,12,5000,1270,2,1,3.9370079,1.3704211
4,36,9,12376,2040,2,1,6.0666666,1.8028092
172,36,13,26433,1880,2,1,14.060106,2.6433415
8,36,12,23910,1840,2,0,12.994565,2.5645311
172,36,14,36000,1850,2,1,19.459459,2.9683332
6,36,12,24000,2000,2,1,12,2.4849067
170,36,12,30000,3160,2,1,9.4936705,2.2506254
6,36,13,2000,952,2,0,2.1008403,.74233741
9,36,12,6000,1234,2,0,4.8622365,1.5814985
171,36,12,17700,1985,2,1,8.9168768,2.1879458
170,36,12,34000,1907,2,1,17.82905,2.8808291
5,36,9,2680,1904,2,1,1.407563,.34185982
179,36,14,19000,1960,2,1,9.6938772,2.2714944
3,36,11,600,693,2,0,.86580086,-.14410035
171,36,16,40000,2040,2,1,19.607843,2.9759297
173,36,17,38000,2032,2,0,18.700787,2.9285655
4,36,16,38000,1960,2,1,19.387754,2.9646416
170,36,10,13000,1607,2,0,8.0896082,2.0905802
6,36,14,11700,1407,2,0,8.3155651,2.118129
170,36,17,70000,1960,2,1,35.714287,3.5755508
188,36,14,23000,1500,2,0,15.333333,2.7300291
170,36,16,33000,1246,2,1,26.484751,3.2765691
171,36,14,27000,2550,2,1,10.588235,2.3597434
4,36,10,7000,1960,2,1,3.5714285,1.2729657
2,36,12,17000,892,2,0,19.058296,2.9475026
2,36,10,87,8,2,1,10.875,2.3864665
2,36,3,14104,520,2,1,27.123077,3.300385
2,36,12,18000,2050,2,1,8.780488,2.1725321
170,36,14,20000,501,2,1,39.920158,3.6868813
2,36,12,10000,1248,2,1,8.0128202,2.0810428
2,36,11,22000,1960,2,1,11.22449,2.418098
2,36,12,1000,116,2,1,8.6206894,2.154165
2,36,12,1040,260,2,0,4,1.3862944
2,36,14,25000,1920,2,1,13.020833,2.5665507
2,36,14,35000,200,2,1,175,5.1647859
2,36,4,23000,2808,2,1,8.1908836,2.1030219
2,36,14,53000,1840,2,1,28.804348,3.3605263
2,36,14,25000,1633,2,0,15.309247,2.728457
2,36,14,7000,520,2,1,13.461538,2.5998366
2,36,3,10000,2438,2,1,4.1017227,1.4114071
2,36,6,12000,1040,2,1,11.538462,2.4456859
2,36,6,16417,2080,2,1,7.8927884,2.0659494
2,36,3,8100,1387,2,1,5.8399425,1.7647209
2,36,14,7000,1960,2,1,3.5714285,1.2729657
2,36,13,3000,827,2,1,3.6275694,1.2885629
2,36,7,16000,1960,2,1,8.1632652,2.0996442
2,36,15,900,64,2,0,14.0625,2.6435118
2,36,6,19172,2429,2,1,7.8929601,2.0659711
2,36,8,20000,1763,2,1,11.344299,2.4287155
2,36,13,6333,867,2,1,7.3044982,1.9884903
2,36,4,5200,1920,2,1,2.7083333,.99633342
1,36,7,18000,2058,2,0,8.746356,2.1686373
1,36,15,500,390,2,0,1.2820513,.2484614
1,36,12,8000,1127,2,0,7.0984917,1.9598824
2,36,13,24000,2010,2,1,11.940298,2.479919
2,36,9,12000,1955,2,1,6.1381073,1.8145164
2,36,12,13250,2300,2,1,5.7608695,1.7510884
1,36,8,1000,1170,2,0,.85470086,-.15700375
2,36,12,14000,1990,2,1,7.0351758,1.9509227
1,36,4,3283,416,2,0,7.8918271,2.0658276
2,36,10,5600,840,2,1,6.6666665,1.89712
