escuela_id,estudiante_id,examen,tiempo
6053,1,50,1
6053,2,43,1
6053,4,50,3
6053,11,49,1
6053,12,62,1
6053,13,43,1
6053,18,42,1
6053,22,68,4
6053,23,41,1
6053,24,62,5
6053,25,69,1
6053,26,60,0
6053,27,71,4
6053,28,56,1
6053,32,47,1
6053,33,58,1
6053,34,66,1
6053,36,41,2
6053,39,60,2
6053,42,69,2
6053,43,44,1
6053,44,61,1
6053,45,65,2
6053,53,67,6
6053,55,57,1
6053,56,64,5
6053,57,67,4
6053,60,65,1
6053,63,70,1
6053,64,59,4
6053,67,54,1
6053,68,53,1
6053,69,58,3
6053,71,59,7
6053,76,60,4
6053,77,48,1
6053,82,59,4
6053,84,50,4
6053,86,43,1
6053,87,48,2
6053,88,65,5
6053,93,41,2
6053,97,50,2
6053,98,64,2
6327,4,61,1
6327,9,56,1
6327,13,46,1
6327,15,60,0
6327,70,65,0
6327,81,39,3
6327,90,67,0
6327,99,65,0
6467,3,61,3
6467,43,42,0
6467,56,67,3
6467,58,67,4
6467,88,46,1
7194,6,42,2
7194,7,56,1
7194,9,40,2
7194,13,40,3
7194,15,41,1
7194,17,39,2
7194,25,48,2
7194,28,42,1
7194,29,50,1
7194,32,59,1
7194,36,62,0
7194,37,42,0
7194,39,53,1
7194,40,53,2
7194,54,44,4
7194,55,43,0
7194,68,62,1
7194,72,64,1
7194,75,45,2
7194,81,37,3
7194,83,50,1
7194,84,58,2
7194,93,56,2
7194,94,37,1
7472,3,48,1
7472,8,48,0
7472,13,53,0
7472,17,42,1
7472,27,43,2
7472,28,57,1
7472,30,33,5
7472,36,64,1
7472,37,36,1
7472,42,56,2
7472,52,48,1
7472,53,48,1
7472,61,44,1
7472,64,35,2
7472,72,50,1
7472,83,36,4
7472,84,47,1
7472,85,41,2
7472,88,42,1
7472,93,49,1
7472,94,39,1
7472,96,45,1
7472,99,48,1
7474,3,42,6
7474,6,48,1
7474,32,57,2
7474,36,60,1
7474,38,67,1
7474,41,48,2
7474,45,51,2
7474,46,46,1
7474,51,44,2
7474,52,62,1
7474,58,63,1
7474,59,47,2
7474,63,56,2
7474,64,58,2
7474,68,54,1
7474,87,54,2
7474,88,60,1
7801,5,46,1
7801,8,47,1
7801,10,38,5
7801,12,40,1
7801,15,39,2
7801,21,54,2
7801,24,56,1
7801,25,58,1
7801,29,62,2
7801,34,44,1
7801,42,44,1
7801,46,47,1
7801,62,54,2
7801,63,43,1
7801,64,67,1
7801,68,62,1
7801,72,62,1
7801,80,50,3
7801,85,45,1
7801,87,50,2
7801,91,34,2
7801,99,60,0
7829,0,58,2
7829,15,43,2
7829,17,49,1
7829,20,42,1
7829,24,35,5
7829,25,38,2
7829,29,35,1
7829,31,42,4
7829,34,41,4
7829,38,31,3
7829,44,41,2
7829,54,32,1
7829,62,65,0
7829,65,50,1
7829,66,37,3
7829,68,44,3
7829,81,44,3
7829,91,41,2
7829,93,39,3
7829,98,36,4
7930,3,65,4
7930,8,62,3
7930,11,44,1
7930,16,63,4
7930,21,43,2
7930,24,68,4
7930,26,50,1
7930,34,57,2
7930,43,53,1
7930,52,48,1
7930,53,53,2
7930,57,47,1
7930,59,36,0
7930,61,52,1
7930,63,70,3
7930,64,51,2
7930,65,67,2
7930,68,44,1
7930,71,70,3
7930,73,33,1
7930,81,70,2
7930,83,54,1
7930,90,37,1
7930,97,41,1
24371,6,38,2
24371,13,62,2
24371,19,49,3
24371,22,43,1
24371,24,36,1
24371,26,36,1
24371,42,63,6
24371,47,42,2
24371,50,33,2
24371,53,54,1
24371,56,65,4
24371,58,64,3
24371,72,47,1
24371,74,35,1
24371,76,62,2
24371,79,39,1
24371,83,58,4
24371,89,41,1
24371,92,51,1
24371,94,49,1
24725,1,31,1
24725,5,39,0
24725,6,48,1
24725,7,34,1
24725,9,33,0
24725,10,47,1
24725,13,40,0
24725,14,31,1
24725,16,36,2
24725,28,37,1
24725,30,62,5
24725,31,41,1
24725,37,41,1
24725,39,37,1
24725,51,43,1
24725,54,40,2
24725,65,42,1
24725,68,64,5
24725,78,54,4
24725,85,65,4
24725,88,45,1
24725,89,48,2
25456,1,62,0
25456,4,33,2
25456,9,53,1
25456,13,43,1
25456,19,54,0
25456,20,60,0
25456,29,58,2
25456,48,49,2
25456,51,49,0
25456,60,53,1
25456,61,56,1
25456,65,58,1
25456,66,46,0
25456,67,32,2
25456,68,60,0
25456,69,48,1
25456,74,47,1
25456,76,52,0
25456,78,42,1
25456,84,58,1
25456,97,41,0
25456,99,43,2
25642,7,42,1
25642,9,46,1
25642,24,43,1
25642,33,46,1
25642,36,47,1
25642,37,49,1
25642,42,47,2
25642,44,44,1
25642,45,39,3
25642,57,41,1
25642,59,51,0
25642,63,45,0
25642,67,57,0
25642,73,47,1
25642,76,42,2
25642,80,47,1
25642,83,47,3
25642,84,51,1
25642,86,53,1
25642,95,44,1
26537,8,52,1
26537,11,64,5
26537,17,62,5
26537,24,67,5
26537,36,48,1
26537,38,50,2
26537,41,59,2
26537,42,67,4
26537,50,43,1
26537,68,45,1
26537,73,55,5
26537,76,43,1
26537,77,64,3
26537,83,49,1
26537,92,63,1
26537,95,71,4
46417,15,67,5
46417,16,57,1
46417,18,58,2
46417,22,69,4
46417,24,49,1
46417,40,70,1
46417,42,47,1
46417,49,69,3
46417,50,54,1
46417,54,49,1
46417,57,54,1
46417,58,46,1
46417,65,68,3
46417,66,60,1
46417,67,58,1
46417,74,40,1
46417,78,49,3
46417,80,50,2
46417,91,40,1
46417,92,44,1
46417,94,67,2
46417,95,55,1
46417,98,61,4
47583,1,69,2
47583,8,37,1
47583,10,58,4
47583,15,65,5
47583,21,44,2
47583,22,49,4
47583,24,49,2
47583,28,49,2
47583,41,40,2
47583,42,38,1
47583,66,45,2
47583,68,49,2
47583,74,64,4
47583,76,53,2
47583,78,39,1
47583,88,68,2
47583,89,44,1
47583,92,43,3
47583,95,60,7
47583,98,58,6
54344,0,44,1
54344,4,58,5
54344,10,38,2
54344,15,41,2
54344,21,43,1
54344,30,41,1
54344,33,36,2
54344,41,51,2
54344,47,48,1
54344,49,35,1
54344,50,36,2
54344,54,41,3
54344,58,41,1
54344,60,30,0
54344,76,44,1
54344,80,39,2
54344,83,35,1
54344,85,38,2
54344,90,39,1
62821,0,62,4
62821,1,68,5
62821,3,56,5
62821,4,68,5
62821,6,61,2
62821,7,61,2
62821,9,62,3
62821,11,60,1
62821,12,68,2
62821,13,63,0
62821,14,71,5
62821,16,61,1
62821,17,60,2
62821,18,69,5
62821,19,70,6
62821,20,66,1
62821,22,63,2
62821,25,63,1
62821,26,67,2
62821,27,62,5
62821,28,51,4
62821,29,64,4
62821,30,57,1
62821,31,67,4
62821,32,57,1
62821,34,69,4
62821,35,54,1
62821,39,69,5
62821,40,63,5
62821,41,43,1
62821,42,60,5
62821,43,71,4
62821,44,63,0
62821,46,56,2
62821,47,65,5
62821,48,69,4
62821,49,61,2
62821,54,70,5
62821,56,56,1
62821,57,61,3
62821,60,60,4
62821,61,65,3
62821,63,64,4
62821,64,65,7
62821,65,70,5
62821,66,67,1
62821,68,63,1
62821,69,63,3
62821,70,64,4
62821,71,56,3
62821,72,63,3
62821,73,67,1
62821,75,54,4
62821,76,55,5
62821,77,67,3
62821,78,58,1
62821,80,57,5
62821,81,63,4
62821,82,67,6
62821,83,70,3
62821,86,69,5
62821,91,68,5
62821,92,52,5
62821,94,63,5
62821,95,55,2
62821,96,69,5
62821,99,68,4
68448,1,69,3
68448,6,46,1
68448,16,46,2
68448,18,44,1
68448,19,65,4
68448,20,52,1
68448,21,40,1
68448,26,54,2
68448,36,58,3
68448,38,53,2
68448,43,62,3
68448,49,40,1
68448,50,34,2
68448,51,41,1
68448,53,46,2
68448,63,41,1
68448,68,60,2
68448,79,50,3
68448,81,35,1
68448,89,65,5
68448,96,42,3
68493,0,48,1
68493,7,45,1
68493,8,48,2
68493,14,62,4
68493,17,43,0
68493,20,56,1
68493,29,40,2
68493,36,37,1
68493,39,34,1
68493,47,38,1
68493,50,40,1
68493,53,37,2
68493,59,56,1
68493,61,41,1
68493,66,71,3
68493,68,48,0
68493,74,42,1
68493,82,41,1
68493,88,60,2
68493,89,42,1
68493,92,44,1
72080,3,56,3
72080,7,47,2
72080,10,58,4
72080,11,56,1
72080,19,35,1
72080,22,34,1
72080,25,35,1
72080,32,53,2
72080,36,67,1
72080,38,42,0
72080,42,63,4
72080,43,40,1
72080,46,60,2
72080,49,68,3
72080,51,57,3
72080,53,54,1
72080,56,53,1
72080,57,54,1
72080,59,42,1
72080,64,52,1
72080,68,58,1
72080,74,42,0
72080,83,64,2
72080,85,41,1
72080,88,42,2
72080,89,53,1
72080,91,60,3
72292,2,68,5
72292,17,50,3
72292,44,43,1
72292,49,44,2
72292,52,37,0
72292,53,67,4
72292,56,37,1
72292,63,43,2
72292,67,36,0
72292,68,37,0
72292,71,62,2
72292,76,64,3
72292,77,64,3
72292,82,37,1
72292,85,46,0
72292,89,43,2
72292,92,45,0
72292,97,47,1
72292,98,34,1
72292,99,53,1
72991,15,30,0
72991,22,40,0
72991,24,65,2
72991,31,71,5
72991,33,63,1
72991,38,41,1
72991,41,69,4
72991,45,43,1
72991,62,55,1
72991,63,63,5
72991,70,67,4
72991,77,53,1
72991,87,56,1
72991,96,53,2
